,cpf,sex,birthday,stateBorn,parents,education,income,risk,save_profile,email,name,phone
37,2479,0,17/8/1945,AC,1,Fundamental,1600.0,Arrojado,0.4171,1,Guilherme Santos,0
38,1831,1,18/2/1981,MG,0,Fundamental,2458.4,Moderado,0.5365,1,Antonieta Froszen,0
39,2252,1,25/7/1933,AC,1,Doutorado,6400.0,Arrojado,0.6567,1,Elisabeth Targino,0
40,1708,0,27/11/1963,AC,0,Pos Doutorado,12121.2,,0.6835,1,John Assis,0
41,168,1,20/7/1979,MG,1,Graducao,4000.0,,0.18,1,Gabriela Bardeen,0
42,709,1,16/7/1953,BA,1,Doutorado,6400.0,Arrojado,0.3895,1,,0
43,2022,1,6/9/1997,CE,1,Doutorado,6400.0,,0.3917,1,,0
44,532,0,25/1/2009,MG,1,Doutorado,6400.0,Moderado,0.4809,1,Silvio Nazare,0
45,1435,1,20/10/1963,RJ,0,Graducao,4397.6,Moderado,0.0994,1,,0
46,2329,1,23/8/1951,SP,1,Fundamental,1600.0,Arrojado,0.336,1,Maria Yamato,0
47,1376,0,20/3/2008,AC,0,Medio,3065.28,,0.2772,1,Kant Bardeen,0
48,7,1,2/6/2007,AC,1,Graducao,4000.0,Moderado,0.7809,1,Ana Froszen,0
49,805,0,3/9/1989,RJ,1,MBA,4800.0,Conservador,0.5401,1,Silvio Akuma,0
50,1151,1,12/5/1986,AC,0,Graducao,5452.4,,0.3631,1,Elisabeth Targino,0
51,1990,0,26/1/1963,SP,0,Doutorado,7130.24,,0.1141,1,,0
52,907,0,5/10/1967,CE,1,Medio,2400.0,Arrojado,0.6265,1,Alberto Bryant,0
53,447,0,2/8/1935,CE,1,Tecnologo,3200.0,Arrojado,0.5826,1,Vlad Froszen,0
54,2348,1,5/7/1980,SP,0,Mestrado,7863.52,Conservador,0.4042,1,Irene Assis,0
55,722,1,17/5/1989,MG,1,Graducao,4000.0,Arrojado,0.1854,1,Gabriela Bardeen,0
56,2364,0,14/9/1991,SP,1,Doutorado,6400.0,Conservador,0.1703,1,Silvio Assis,0
57,1759,1,27/4/1946,RJ,0,Mestrado,8566.32,Conservador,0.5297,1,Maria Bardeen,0
58,1048,1,28/11/1992,RJ,1,Nao fez,800.0,Moderado,0.7977,1,,0
59,2265,0,12/5/1963,CE,1,Doutorado,6400.0,,0.5353,1,Rafael Nazare,0
60,2272,0,15/2/1948,MG,1,Tecnologo,3200.0,Conservador,0.0507,1,Kobe Buda,0
61,1462,0,21/7/1959,BA,0,Pos Doutorado,11062.08,Conservador,0.5364,1,Marco Nazare,0
62,448,0,22/11/1980,CE,1,Fundamental,1600.0,Conservador,0.5902,1,Silvio Buda,0
63,389,1,6/2/1960,CE,1,MBA,4800.0,Moderado,0.0336,1,Julia Asimov,0
64,601,0,14/9/1944,MG,1,Medio,2400.0,Conservador,0.4727,1,Antonio Buda,0
65,2426,1,5/3/1952,RJ,0,Graducao,5811.2,Conservador,0.4528,1,Isabel Bryant,0
66,747,0,24/11/1965,SP,1,Graducao,4000.0,Conservador,0.2906,1,Vlad Asimov,0
67,1241,0,23/6/1972,RJ,0,Fundamental,1782.88,Conservador,0.1143,1,John Asimov,0
68,2229,0,28/8/2004,CE,0,Doutorado,7379.2,Arrojado,0.153,1,,0
69,748,0,18/1/2018,BA,1,Fundamental,1600.0,,0.1939,1,Andre Bryant,0
70,502,0,24/8/1988,CE,1,Mestrado,5600.0,Conservador,0.6089,1,Marco Assis,0
71,2225,1,14/10/1933,CE,0,Graducao,6096.0,,0.524,1,Elisabeth Assis,0
72,92,1,19/3/2008,AC,1,Pos Doutorado,7200.0,Moderado,0.2385,1,Gabriela Froszen,0
73,797,0,9/3/1941,AC,0,Mestrado,6422.64,Conservador,0.1469,1,Alberto Aurelio,0
74,2111,1,23/2/1943,CE,0,Doutorado,10893.44,Conservador,0.7021,1,Antonieta Asimov,0
75,1434,0,5/1/1994,AC,1,Medio,2400.0,Conservador,0.0799,1,John Akuma,0
76,1712,1,14/4/1940,AC,1,Nao fez,800.0,Moderado,0.4719,1,Elisabeth Assis,0
77,2112,1,11/12/2008,SP,0,Pos Doutorado,11387.52,,0.5816,1,Antonieta Bryant,0
78,196,0,26/11/1989,MG,0,Medio,3664.08,Arrojado,0.5267,1,Guilherme Assis,0
79,1571,0,21/8/1992,BA,1,Mestrado,5600.0,Arrojado,0.3488,1,Marco Froszen,0
80,1604,0,1/3/1977,AC,0,Nao fez,1311.52,Moderado,0.6394,1,Alberto Yamato,0
81,50,0,2/4/1952,CE,1,Pos Doutorado,7200.0,Conservador,0.0151,1,Rafael Yamato,0
82,2330,0,19/4/1949,CE,1,Nao fez,800.0,Arrojado,0.6877,1,Silvio Froszen,0
83,2044,0,6/11/1991,SP,0,Graducao,6652.0,Moderado,0.663,1,Isaac Asimov,0
84,1766,0,23/10/1995,SP,0,Pos Doutorado,12886.56,,0.7898,1,,0
85,1343,1,17/3/1968,CE,1,Medio,2400.0,,0.4534,1,Antonieta Nazare,0
86,488,0,10/5/1993,MG,1,Mestrado,5600.0,Moderado,0.3839,1,,0
87,2111,1,2/10/2018,BA,0,Fundamental,2288.64,Arrojado,0.4304,1,Irene Asimov,0
88,1599,1,16/3/1937,MG,1,Tecnologo,3200.0,Arrojado,0.3084,1,,0
89,1336,1,26/4/1997,RJ,1,Tecnologo,3200.0,Conservador,0.281,1,Ana Santos,0
90,491,0,18/12/2016,SP,0,MBA,4868.16,Conservador,0.0142,1,,0
91,1782,1,27/11/1988,MG,1,Tecnologo,3200.0,,0.2012,1,,0
92,617,1,15/9/1988,RJ,0,Doutorado,8388.48,Arrojado,0.3107,1,Gabriela Froszen,0
93,1054,0,20/12/1981,MG,1,Pos Doutorado,7200.0,Moderado,0.1368,1,,0
94,1290,1,4/6/1967,SP,1,Fundamental,1600.0,,0.1536,1,Isabel Yamato,0
95,1628,0,8/6/1938,BA,0,Doutorado,11276.8,,0.762,1,,0
96,1785,0,2/1/1968,AC,0,Medio,3917.04,Conservador,0.6321,1,Kant Aurelio,0
97,2018,1,25/8/1999,BA,1,MBA,4800.0,Conservador,0.0698,1,Irene Aurelio,0
98,949,0,21/4/1931,RJ,0,Pos Doutorado,11828.88,Moderado,0.6429,1,Andre Nazare,0
99,935,0,5/5/1962,RJ,0,Mestrado,6678.0,,0.1925,1,John Santos,0
100,1204,0,6/2/1934,BA,1,Medio,2400.0,Arrojado,0.5262,1,Andre Bryant,0
101,625,1,8/5/1994,CE,1,Graducao,4000.0,Moderado,0.1284,1,Gabriela Santos,0
102,2494,0,12/7/1952,BA,0,Doutorado,6824.32,Arrojado,0.0663,1,Kobe Nazare,0
103,270,1,19/12/1970,MG,1,Graducao,4000.0,,0.2707,1,Ana Aurelio,0
104,1323,0,21/12/1935,MG,1,Tecnologo,3200.0,Moderado,0.4207,1,Andre Nazare,0
105,1873,0,5/12/1968,RJ,1,Pos Doutorado,7200.0,Arrojado,0.2092,1,Rafael Nazare,0
106,963,1,26/1/1970,CE,0,Fundamental,2112.64,Moderado,0.3204,1,Elisabeth Yamato,0
107,1701,0,16/4/1984,BA,1,Pos Doutorado,7200.0,Arrojado,0.186,1,Andre Buda,0
108,1649,1,28/3/1953,BA,1,Mestrado,5600.0,Moderado,0.0488,1,Irene Bryant,0
109,166,0,28/5/1955,RJ,0,Medio,2933.52,Moderado,0.2223,1,Antonio Buda,0
110,1691,1,24/1/1954,BA,1,Graducao,4000.0,Arrojado,0.5164,1,Irene Assis,0
111,1932,0,27/12/1955,AC,0,Fundamental,2621.6,Conservador,0.6385,1,Kant Bardeen,0
112,322,0,13/7/1936,BA,1,Pos Doutorado,7200.0,,0.2763,1,,0
113,1895,0,12/8/2014,SP,0,Fundamental,2150.08,Arrojado,0.3438,1,John Yamato,0
114,712,1,3/1/1954,MG,0,MBA,8631.84,Moderado,0.7983,1,Carlota Froszen,0
115,587,0,1/10/1981,MG,1,Tecnologo,3200.0,Arrojado,0.2738,1,,0
116,2425,1,27/6/1982,AC,1,Pos Doutorado,7200.0,Moderado,0.2595,1,Julia Asimov,0
117,797,1,10/12/1992,AC,0,Fundamental,1744.64,Moderado,0.0904,1,Maria Buda,0
118,492,1,27/5/1948,SP,0,Fundamental,1949.28,Arrojado,0.2183,1,Irene Bardeen,0
119,1763,0,24/7/1989,BA,0,Graducao,6772.8,,0.6932,1,Kobe Yamato,0
120,1418,0,18/9/1947,RJ,0,Mestrado,8853.04,Moderado,0.5809,1,Guilherme Akuma,0
121,523,1,17/11/1983,RJ,0,Fundamental,1754.88,Moderado,0.0968,1,Elisabeth Assis,0
122,1603,0,26/3/1973,RJ,0,Mestrado,7757.68,,0.3853,1,John Bryant,0
123,1726,1,2/6/1981,SP,0,Pos Doutorado,10169.28,,0.4124,1,Antonieta Bryant,0
124,2123,0,19/8/1939,BA,0,Graducao,4150.4,,0.0376,1,Kobe Yamato,0
125,941,1,18/5/1932,BA,0,Pos Doutorado,9844.56,Moderado,0.3673,1,,0
126,480,0,2/4/1992,AC,0,Fundamental,2607.84,Moderado,0.6299,1,Francisco Yamato,0
127,1396,1,1/3/1973,BA,1,Doutorado,6400.0,Conservador,0.5178,1,,0
128,997,1,8/2/1946,CE,1,Tecnologo,3200.0,Moderado,0.7356,1,,0
129,2030,0,13/4/1954,CE,1,Tecnologo,3200.0,,0.7215,1,Marco Froszen,0
130,320,0,20/5/1945,CE,1,Tecnologo,3200.0,Arrojado,0.3264,1,Antonio Targino,0
131,2454,1,16/3/2004,BA,0,Tecnologo,4463.68,,0.3949,1,Julia Akuma,0
132,1478,0,20/9/2005,SP,0,Doutorado,7535.36,Arrojado,0.1774,1,,0
133,2247,1,12/6/1973,CE,1,Tecnologo,3200.0,,0.414,1,Isabel Bardeen,0
134,1119,1,18/7/1975,SP,0,Doutorado,8019.2,Moderado,0.253,1,Ana Assis,0
135,1143,0,2/11/1949,AC,0,Mestrado,7580.72,Moderado,0.3537,1,Guilherme Nazare,0
136,1796,1,6/4/1999,AC,1,Tecnologo,3200.0,,0.5764,1,Irene Santos,0
137,2410,1,12/4/1991,MG,1,Medio,2400.0,Arrojado,0.1124,1,Carlota Akuma,0
138,1491,1,2/9/2007,BA,0,Tecnologo,5695.36,Conservador,0.7798,1,Isabel Akuma,0
139,855,1,11/3/2007,SP,0,Medio,3487.92,Moderado,0.4533,1,Isabel Froszen,0
140,1080,0,27/3/1994,RJ,1,Mestrado,5600.0,Conservador,0.7613,1,Kobe Santos,0
141,2404,1,3/8/2005,MG,0,Pos Doutorado,12165.12,Arrojado,0.6896,1,Maria Santos,0
142,2181,0,15/5/1974,BA,0,Pos Doutorado,7546.32,Arrojado,0.0481,1,Rafael Bardeen,0
143,1242,1,3/1/1953,MG,0,Medio,4144.56,Moderado,0.7269,1,Gabriela Targino,0
144,1815,1,23/10/1951,CE,1,Mestrado,5600.0,Conservador,0.729,1,Elisabeth Yamato,0
145,2368,1,11/9/2007,SP,0,Nao fez,1096.64,Moderado,0.3708,1,Maria Akuma,0
146,1472,0,17/12/2011,MG,0,MBA,7029.12,Conservador,0.4644,1,Rafael Bryant,0
147,922,1,19/3/1946,AC,1,Tecnologo,3200.0,Moderado,0.5127,1,Antonieta Yamato,0
148,1099,1,16/12/1934,RJ,1,Doutorado,6400.0,Arrojado,0.0411,1,Ana Asimov,0
149,1053,0,2/5/1983,CE,0,MBA,8288.64,Moderado,0.7268,1,Silvio Akuma,0
150,630,0,2/6/1956,BA,1,Doutorado,6400.0,Arrojado,0.5337,1,Silvio Asimov,0
151,1188,0,14/1/2019,SP,0,Medio,3168.72,Arrojado,0.3203,1,Vlad Bardeen,0
152,1496,1,18/11/1945,RJ,0,MBA,8076.96,Moderado,0.6827,1,,0
153,2106,1,22/3/1954,BA,1,Tecnologo,3200.0,Conservador,0.1047,1,Elisabeth Akuma,0
154,257,1,20/1/1961,MG,1,Mestrado,5600.0,,0.7735,1,Gabriela Yamato,0
155,293,0,4/3/1961,CE,0,Medio,2419.44,Moderado,0.0081,1,Francisco Asimov,0
156,1985,0,24/6/2011,CE,1,Medio,2400.0,,0.3556,1,Vlad Bardeen,0
157,2404,1,6/1/1989,CE,1,MBA,4800.0,Arrojado,0.167,1,Elisabeth Santos,0
158,1500,0,6/8/1963,MG,1,Pos Doutorado,7200.0,Moderado,0.3963,1,Vlad Buda,0
159,2400,0,21/12/1992,CE,0,Tecnologo,4235.2,Moderado,0.3235,1,,0
160,1692,1,19/7/1973,AC,0,Nao fez,1297.12,Moderado,0.6214,1,Carlota Assis,0
161,2370,0,5/11/2008,BA,0,MBA,6864.0,Moderado,0.43,1,Kant Assis,0
162,1569,1,3/3/2000,MG,1,Fundamental,1600.0,Moderado,0.1501,1,Elisabeth Targino,0
163,1648,0,23/9/2018,BA,1,Mestrado,5600.0,,0.0745,1,Alberto Targino,0
164,1456,0,23/2/2006,SP,0,MBA,5681.28,,0.1836,1,Marco Froszen,0
165,486,0,23/7/1946,MG,1,Doutorado,6400.0,Moderado,0.417,1,Kant Bryant,0
166,123,0,20/5/1948,MG,1,Fundamental,1600.0,,0.2848,1,Vlad Santos,0
167,2219,0,20/4/1951,AC,1,Nao fez,800.0,Conservador,0.3103,1,,0
168,1673,0,28/4/2005,AC,0,Pos Doutorado,10106.64,,0.4037,1,Marco Yamato,0
169,1121,0,7/11/2014,RJ,0,Nao fez,1262.4,Arrojado,0.578,1,,0
170,570,0,1/7/2010,AC,0,Graducao,5608.0,Conservador,0.402,1,Marco Bryant,0
171,722,0,5/12/2018,SP,0,Doutorado,9723.52,Conservador,0.5193,1,Kant Targino,0
172,1363,0,27/5/1953,RJ,0,Fundamental,1998.4,Moderado,0.249,1,,0
173,684,0,13/3/2016,MG,1,MBA,4800.0,Conservador,0.5323,1,Francisco Assis,0
174,1775,1,26/6/1978,BA,1,Tecnologo,3200.0,,0.3853,1,Irene Buda,0
175,769,1,9/8/1996,CE,0,Pos Doutorado,9815.76,,0.3633,1,Ana Buda,0
176,2333,1,5/2/1947,MG,0,Doutorado,9966.72,Moderado,0.5573,1,Elisabeth Yamato,0
177,320,0,9/3/2005,RJ,0,Graducao,6530.4,Moderado,0.6326,1,Marco Targino,0
178,466,1,9/6/1996,SP,1,Graducao,4000.0,,0.2441,1,Julia Nazare,0
179,1500,1,10/11/1969,CE,0,MBA,6071.52,Conservador,0.2649,1,Julia Aurelio,0
180,1851,0,19/5/2003,RJ,1,Doutorado,6400.0,Arrojado,0.4641,1,Kobe Asimov,0
181,1660,1,8/7/1934,SP,0,Graducao,7117.6,Conservador,0.7794,1,Gabriela Akuma,0
182,1871,1,15/8/1932,RJ,1,MBA,4800.0,Arrojado,0.3907,1,Carlota Akuma,0
183,2261,0,7/11/1942,RJ,1,Nao fez,800.0,Conservador,0.3667,1,Silvio Santos,0
184,1028,0,21/7/1997,SP,0,Mestrado,6560.4,Conservador,0.1715,1,Vlad Buda,0
185,1416,1,13/6/1969,RJ,0,Medio,2736.72,,0.1403,1,Carlota Aurelio,0
186,1536,1,28/10/1996,AC,1,Nao fez,800.0,Conservador,0.0328,1,Carlota Aurelio,0
187,316,0,6/6/1975,MG,0,Mestrado,6138.72,Moderado,0.0962,1,Marco Akuma,0
188,2220,0,13/3/1972,RJ,1,Pos Doutorado,7200.0,Moderado,0.3581,1,Andre Bryant,0
189,1452,0,26/12/2002,SP,1,Mestrado,5600.0,Conservador,0.408,1,Rafael Bryant,0
190,2274,1,12/10/1967,CE,0,Doutorado,10190.72,,0.5923,1,,0
191,1638,0,28/8/1972,CE,0,Mestrado,7373.52,Arrojado,0.3167,1,,0
192,2165,1,22/12/1998,SP,0,Mestrado,10014.48,,0.7883,1,Carlota Assis,0
193,331,1,28/12/2003,SP,0,Pos Doutorado,7537.68,Moderado,0.0469,1,Irene Bryant,0
194,2182,1,8/1/1988,MG,1,Mestrado,5600.0,Moderado,0.7117,1,Antonieta Buda,0
195,691,1,3/12/2004,CE,0,Doutorado,8799.36,Arrojado,0.3749,1,Isabel Bardeen,0
196,1317,1,2/4/1998,SP,1,Pos Doutorado,7200.0,Arrojado,0.7552,1,Antonieta Assis,0
197,1434,1,17/12/1966,RJ,0,Nao fez,964.96,Conservador,0.2062,1,Isabel Nazare,0
198,1961,0,23/4/1968,RJ,1,MBA,4800.0,,0.001,1,Rafael Froszen,0
199,1004,1,20/6/2016,MG,0,Medio,3709.68,,0.5457,1,Julia Yamato,0
200,578,1,25/12/1931,SP,0,Graducao,5566.8,Conservador,0.3917,1,Isabel Aurelio,0
201,2002,1,10/8/1954,CE,0,Nao fez,1385.68,Conservador,0.7321,1,Ana Targino,0
202,1358,0,1/1/1982,CE,1,Pos Doutorado,7200.0,Conservador,0.2976,1,,0
203,473,1,27/8/1995,MG,0,Medio,2467.92,Moderado,0.0283,1,Maria Nazare,0
204,1371,1,4/4/1976,RJ,0,Doutorado,10497.28,Arrojado,0.6402,1,Isabel Akuma,0
205,619,1,16/4/2012,AC,0,Doutorado,9712.0,,0.5175,1,Antonieta Nazare,0
206,1318,1,2/11/1995,MG,0,MBA,6350.88,,0.3231,1,Isabel Santos,0
207,454,0,14/10/2012,AC,1,Tecnologo,3200.0,Moderado,0.6971,1,Guilherme Buda,0
208,1354,1,27/10/1935,BA,0,Graducao,6883.6,Conservador,0.7209,1,Gabriela Bardeen,0
209,1576,1,1/10/1961,AC,0,Mestrado,9343.6,Arrojado,0.6685,1,Maria Akuma,0
210,1561,0,16/7/1967,MG,0,Graducao,6673.6,Arrojado,0.6684,1,Kobe Aurelio,0
211,172,0,1/11/1932,MG,1,Mestrado,5600.0,Arrojado,0.1663,1,John Froszen,0
212,788,1,15/3/1984,AC,0,Mestrado,7941.92,Conservador,0.4182,1,Carlota Bryant,0
213,1591,0,27/3/2009,MG,0,MBA,5238.24,,0.0913,1,Antonio Asimov,0
214,1898,0,18/4/1965,BA,0,Medio,4098.48,,0.7077,1,Kobe Yamato,0
215,1190,1,20/1/1980,MG,0,Graducao,5051.2,Arrojado,0.2628,1,Maria Nazare,0
216,1098,0,6/7/2020,AC,0,Medio,3921.84,Arrojado,0.6341,1,Silvio Targino,0
217,1482,0,23/10/1936,AC,0,Fundamental,1854.24,,0.1589,1,,0
218,1547,0,17/12/1979,SP,1,Nao fez,800.0,,0.629,1,Kant Froszen,0
219,177,1,4/11/2021,AC,1,Nao fez,800.0,Conservador,0.5606,1,Maria Assis,0
220,1931,1,28/12/1937,AC,0,Pos Doutorado,12258.72,Arrojado,0.7026,1,Isabel Nazare,0
221,2249,1,12/3/1997,RJ,0,Nao fez,1356.96,,0.6962,1,Gabriela Targino,0
222,1154,1,5/9/2007,AC,1,Medio,2400.0,Arrojado,0.6856,1,Maria Asimov,0
223,1882,0,20/1/1945,SP,1,MBA,4800.0,Conservador,0.6368,1,Andre Yamato,0
224,1974,0,2/4/1958,MG,0,Pos Doutorado,11995.92,,0.6661,1,Andre Assis,0
225,788,1,9/11/2000,SP,1,Mestrado,5600.0,Arrojado,0.154,1,Isabel Targino,0
226,1841,0,25/2/1939,BA,1,Doutorado,6400.0,Arrojado,0.42,1,Rafael Buda,0
227,772,0,5/8/1999,CE,0,Fundamental,2820.16,Arrojado,0.7626,1,Rafael Bardeen,0
228,1538,0,16/11/1959,MG,0,Mestrado,9527.84,,0.7014,1,Rafael Bardeen,0
229,193,0,19/1/2006,MG,0,Doutorado,10721.28,Conservador,0.6752,1,Marco Nazare,0
230,1220,1,18/8/1942,CE,1,Tecnologo,3200.0,Moderado,0.7326,1,Ana Assis,0
231,119,1,26/5/2018,RJ,0,Tecnologo,4278.4,,0.337,1,Antonieta Akuma,0
232,368,1,27/8/1951,AC,0,Fundamental,1853.92,Arrojado,0.1587,1,Irene Yamato,0
233,1342,0,15/4/1951,MG,0,Doutorado,9584.0,Conservador,0.4975,1,Rafael Froszen,0
234,1696,0,21/12/1949,MG,0,Nao fez,1382.64,,0.7283,1,Vlad Targino,0
235,1672,0,16/2/2017,MG,1,Graducao,4000.0,Conservador,0.2866,1,Guilherme Bardeen,0
236,2023,1,15/10/1945,AC,1,Tecnologo,3200.0,Conservador,0.6374,1,,0
237,1079,0,9/5/1966,BA,1,Pos Doutorado,7200.0,Moderado,0.3644,1,Alberto Froszen,0
238,559,0,24/10/1994,MG,0,Medio,3568.8,Arrojado,0.487,1,,0
239,703,0,20/12/1972,BA,0,Graducao,5807.6,Arrojado,0.4519,1,Rafael Akuma,0
240,449,0,12/9/1947,BA,0,Tecnologo,3273.28,Arrojado,0.0229,1,Silvio Bryant,0
241,1691,0,26/6/1999,MG,1,Mestrado,5600.0,,0.1049,1,,0
242,1908,1,6/5/2008,RJ,1,MBA,4800.0,Arrojado,0.6008,1,Irene Santos,0
243,940,1,4/9/1980,BA,1,Graducao,4000.0,Conservador,0.4051,1,Carlota Nazare,0
244,2022,1,19/4/1969,RJ,0,Fundamental,2162.08,,0.3513,1,,0
245,603,0,16/5/2019,RJ,0,Fundamental,2099.36,,0.3121,1,Vlad Akuma,0
246,2267,1,28/12/1950,CE,1,Pos Doutorado,7200.0,,0.762,1,Ana Aurelio,0
247,438,1,3/5/2007,AC,0,Mestrado,9321.76,Arrojado,0.6646,1,Antonieta Targino,0
248,1551,0,24/1/1959,CE,1,Medio,2400.0,,0.0927,1,Kobe Yamato,0
249,2465,1,25/6/1975,AC,1,Pos Doutorado,7200.0,Conservador,0.7569,1,Elisabeth Targino,0
250,1093,0,25/8/1985,MG,0,Graducao,5607.2,Arrojado,0.4018,1,Kant Buda,0
251,2376,0,7/2/2003,CE,1,Doutorado,6400.0,Moderado,0.7076,1,Vlad Buda,0
252,1619,1,15/9/1959,RJ,1,Medio,2400.0,Moderado,0.0425,1,Antonieta Bryant,0
253,2306,1,12/2/1964,SP,1,Nao fez,800.0,Arrojado,0.6866,1,Gabriela Bryant,0
254,507,1,16/9/1997,CE,0,Tecnologo,4511.68,,0.4099,1,Antonieta Bardeen,0
255,2286,0,27/5/2007,MG,1,Doutorado,6400.0,Moderado,0.5038,1,Kant Froszen,0
256,533,0,17/3/1992,RJ,1,MBA,4800.0,Moderado,0.65,1,Andre Buda,0
257,1109,1,27/6/1954,MG,0,Pos Doutorado,9056.88,Moderado,0.2579,1,,0
258,1026,0,4/2/1966,CE,0,Doutorado,9776.64,Conservador,0.5276,1,Silvio Assis,0
259,1410,0,19/8/1987,SP,0,Doutorado,8300.8,Moderado,0.297,1,Guilherme Froszen,0
260,507,1,1/5/1945,BA,0,MBA,6487.68,Arrojado,0.3516,1,Elisabeth Assis,0
261,179,1,5/9/1932,BA,0,Medio,4110.0,Conservador,0.7125,1,Elisabeth Yamato,0
262,1489,1,5/12/1997,SP,0,Pos Doutorado,11973.6,,0.663,1,Elisabeth Nazare,0
263,1840,0,9/4/1975,RJ,1,Doutorado,6400.0,,0.7674,1,John Targino,0
264,1048,0,4/9/1957,MG,0,Pos Doutorado,7809.84,Moderado,0.0847,1,Isaac Targino,0
265,507,1,13/8/1980,AC,0,Pos Doutorado,9074.88,Arrojado,0.2604,1,Irene Assis,0
266,934,1,2/1/2013,MG,1,Graducao,4000.0,Moderado,0.5065,1,Ana Aurelio,0
267,2468,1,12/4/1993,RJ,0,MBA,5479.68,Conservador,0.1416,1,Irene Bryant,0
268,321,1,20/3/1997,RJ,1,Medio,2400.0,Arrojado,0.6789,1,Antonieta Aurelio,0
269,2200,1,6/11/1980,AC,1,Pos Doutorado,7200.0,Conservador,0.5789,1,,0
270,777,0,28/2/1972,AC,1,Pos Doutorado,7200.0,Moderado,0.3167,1,Guilherme Froszen,0
271,1698,0,11/8/2007,AC,1,Graducao,4000.0,Conservador,0.1564,1,Silvio Bardeen,0
272,1937,1,13/12/1938,BA,1,Doutorado,6400.0,Moderado,0.6982,1,Carlota Bardeen,0
273,2090,1,13/1/1985,SP,0,Doutorado,11157.12,,0.7433,1,,0
274,1284,0,24/2/2006,CE,0,Mestrado,7860.72,Arrojado,0.4037,1,Guilherme Targino,0
